Model,Group,Attribute,Ref_Group,TP,FP,TN,FN,N,Group Exclusion Error (FNR),Ref Exclusion Error (FNR),Exclusion Ratio,Exclusion Sig,Group Inclusion Error (FPR),Ref Inclusion Error (FPR),Actual Poverty Share,Predicted Poverty Share,Recall_Group,Recall_Ref,Precision_Group,Precision_Ref
KCHS,Primary Activity Working Pattern,REGULAR WORKERS	FULL TIME,Rest,34,24,222,57,337,62.64,37.22,1.68,***,9.76,17.23,27.0,17.21,37.36,62.78,58.62,71.65
KCHS,Primary Activity Working Pattern,CASUAL WORKER,Rest,58,31,101,53,243,47.75,38.15,1.25,*,23.48,15.84,45.68,36.63,52.25,61.85,65.17,71.48
KCHS,Primary Activity Working Pattern,REGULAR WORKERS	SEASONAL,Rest,33,7,69,28,137,45.9,38.61,1.19,insig,9.21,16.61,44.53,29.2,54.1,61.39,82.5,70.58
KCHS,Primary Activity Working Pattern,REGULAR WORKERS	PART TIME,Rest,21,6,53,18,98,46.15,38.73,1.19,insig,10.17,16.52,39.8,27.55,53.85,61.27,77.78,70.83
IBS,Primary Activity Working Pattern,Full time,Rest,559,224,1623,395,2801,41.4,31.67,1.31,***,12.13,21.76,34.06,27.95,58.6,68.33,71.39,71.25
IBS,Primary Activity Working Pattern,Casual worker,Rest,134,56,188,69,447,33.99,37.82,0.9,insig,22.95,14.43,45.41,42.51,66.01,62.18,70.53,71.45
IBS,Primary Activity Working Pattern,Seasonal,Rest,80,43,178,66,367,45.21,36.58,1.24,**,19.46,14.82,39.78,33.51,54.79,63.42,65.04,71.92
IBS,Primary Activity Working Pattern,Part time,Rest,73,32,135,33,273,31.13,37.78,0.82,insig,19.16,14.94,38.83,38.46,68.87,62.22,69.52,71.47
