Model,Group,Attribute,Ref_Group,TP,FP,TN,FN,N,Group Exclusion Error (FNR),Ref Exclusion Error (FNR),Exclusion Ratio,Exclusion Sig,Group Inclusion Error (FPR),Ref Inclusion Error (FPR),Actual Poverty Share,Predicted Poverty Share,Recall_Group,Recall_Ref,Precision_Group,Precision_Ref
KCHS,Region,Western,Rest,404,173,723,216,1516,34.84,42.46,0.82,***,19.31,14.03,40.9,38.06,65.16,57.54,70.02,71.97
KCHS,Region,Eastern,Rest,62,43,297,87,489,58.39,36.52,1.6,***,12.65,17.07,30.47,21.47,41.61,63.48,59.05,72.19
KCHS,Region,Coastal,Rest,84,33,184,89,390,51.45,37.09,1.39,***,15.21,16.47,44.36,30.0,48.55,62.91,71.79,70.91
KCHS,Region,Central,Rest,41,27,245,75,388,64.66,36.51,1.77,***,9.93,17.31,29.9,17.53,35.34,63.49,60.29,71.67
KCHS,Region,Rift Valley,Rest,125,38,169,34,366,21.38,41.3,0.52,***,18.36,16.11,43.44,44.54,78.62,58.7,76.69,70.06
KCHS,Region,North Eastern,Rest,98,18,23,16,155,14.04,41.25,0.34,***,43.9,15.77,73.55,74.84,85.96,58.75,84.48,69.49
KCHS,Region,Nairobi,Rest,6,3,75,6,90,50.0,38.84,1.29,insig,3.85,16.83,13.33,10.0,50.0,61.16,66.67,71.03
IBS,Region,Western,Rest,456,196,890,263,1805,36.58,37.95,0.96,insig,18.05,13.29,39.83,36.12,63.42,62.05,69.94,72.48
IBS,Region,Rift Valley,Rest,167,55,233,57,512,25.45,39.24,0.65,***,19.1,14.73,43.75,43.36,74.55,60.76,75.23,70.62
IBS,Region,Eastern,Rest,66,31,279,85,461,56.29,35.42,1.59,***,10.0,15.87,32.75,21.04,43.71,64.58,68.04,71.57
IBS,Region,Central,Rest,28,29,332,65,454,69.89,35.39,1.98,***,8.03,16.3,20.48,12.56,30.11,64.61,49.12,72.25
IBS,Region,Coastal,Rest,51,24,271,49,395,49.0,36.59,1.34,**,8.14,16.06,25.32,18.99,51.0,63.41,68.0,71.51
IBS,Region,North Eastern,Rest,196,64,52,26,338,11.71,41.37,0.28,***,55.17,13.41,65.68,76.92,88.29,58.63,75.38,70.43
