,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],sig,percentage_points
const,3.996887941,0.293271577,13.62862361,3.67E-41,3.421870003,4.571905879,***,399.6887941
household_size,-0.006243178,0.00559444,-1.115961133,0.264522069,-0.017212203,0.004725848,insig,-0.624317757
mm_age,-0.083376528,0.02285005,-3.648855398,0.000267592,-0.128178648,-0.038574407,***,-8.337652786
prop_over65,-0.078509847,0.042960163,-1.827503442,0.067716639,-0.162741891,0.005722198,insig,-7.850984658
prop_under5,0.120084327,0.044512829,2.697746437,0.007017469,0.032807968,0.207360685,**,12.00843266
prop_m1864,0.034031892,0.036381599,0.93541496,0.349644657,-0.037301553,0.105365337,insig,3.403189199
prop_w1864,-0.007401706,0.038308697,-0.193212146,0.846805016,-0.082513615,0.067710204,insig,-0.740170563
nr_rooms,0.018619321,0.007579455,2.456551344,0.01408021,0.003758274,0.033480368,*,1.861932103
county_bomet,0.009389715,0.059260446,0.158448267,0.874113522,-0.106802314,0.125581744,insig,0.938971497
county_bungoma,0.050000517,0.058040118,0.861482003,0.389036795,-0.063798813,0.163799846,insig,5.000051689
county_busia,-0.145020688,0.055794495,-2.599193481,0.00938697,-0.254417023,-0.035624354,**,-14.50206884
county_elgeyo_marakwet,-0.099020351,0.056493058,-1.75278795,0.079733603,-0.209786358,0.011745656,insig,-9.902035089
county_embu,0.039189735,0.051457873,0.761588699,0.446361313,-0.06170378,0.140083249,insig,3.91897347
county_garissa,0.035432392,0.070908667,0.499690562,0.617327131,-0.103598318,0.174463101,insig,3.54323917
county_homa_bay,-0.040549882,0.054141682,-0.748958675,0.453936837,-0.146705543,0.065605779,insig,-4.05498822
county_isiolo,-0.021085996,0.06361464,-0.331464525,0.740315209,-0.145815298,0.103643305,insig,-2.108599644
county_kajiado,0.019547927,0.055091261,0.354828095,0.722741624,-0.088469575,0.12756543,insig,1.954792721
county_kakamega,0.044081189,0.053425318,0.825099247,0.409376386,-0.060669896,0.148832275,insig,4.408118934
county_kericho,-0.124760476,0.053985577,-2.310996438,0.020895941,-0.230610063,-0.01891089,*,-12.47604765
county_kiambu,0.083367743,0.053660872,1.553603959,0.120377219,-0.021845194,0.18858068,insig,8.336774304
county_kilifi,0.124773976,0.052334216,2.384175864,0.017175026,0.022162214,0.227385738,*,12.47739758
county_kirinyaga,-0.071574604,0.053645103,-1.334224377,0.18222471,-0.176756624,0.033607415,insig,-7.157460442
county_kisii,-0.071972873,0.057336184,-1.255278402,0.20946883,-0.184391998,0.040446252,insig,-7.197287318
county_kisumu,0.012274528,0.055576847,0.220856858,0.825217897,-0.096695064,0.12124412,insig,1.22745279
county_kitui,0.02450877,0.057416327,0.426860638,0.669509384,-0.088067493,0.137085033,insig,2.450877014
county_kwale,0.146766452,0.054567693,2.689621711,0.007190212,0.03977551,0.253757394,**,14.6766452
county_laikipia,-0.052707834,0.053113157,-0.992368677,0.321092301,-0.156846866,0.051431198,insig,-5.270783364
county_lamu,0.026822643,0.057522799,0.466295854,0.641035299,-0.08596238,0.139607665,insig,2.682264278
county_machakos,-0.006495402,0.053887846,-0.120535562,0.904066433,-0.112153368,0.099162564,insig,-0.649540186
county_makueni,-0.145802614,0.055772102,-2.6142571,0.008983847,-0.255155043,-0.036450186,**,-14.58026143
county_mandera,0.162427422,0.073637619,2.205766908,0.027470737,0.018046054,0.30680879,*,16.24274222
county_marsabit,0.103348253,0.066659037,1.550401221,0.12114355,-0.027350203,0.234046708,insig,10.33482528
