,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],sig,percentage_points
dwelling_shanty,0.14770955467970515,0.05415289237873361,2.7276392486417254,0.0064057544598326846,0.04154089395040128,0.253878215409009,**,14.770955467970515
dwelling_swahili,-0.01656047405772812,0.022075192940755488,-0.7501847934997647,0.45318591286636645,-0.05983967054957396,0.02671872243411772,insig,-1.6560474057728118
ownership_dwelling_no_rent_squatting,-0.12762651565975763,0.10629482334600376,-1.2006842068340091,0.22994220084501818,-0.3360212761496879,0.08076824483017264,insig,-12.762651565975764
ownership_dwelling_owns,0.1642648983981687,0.21997280764972885,0.7467509286863039,0.45525619316456345,-0.266999570758938,0.5955293675552754,insig,16.42648983981687
ownership_dwelling_pays_rent_lease,-0.006503422592634408,0.02465561506614798,-0.2637704464150063,0.7919698954443459,-0.05484162792288482,0.041834782737616004,insig,-0.6503422592634408
tenure_status_constructed_loan,-0.15924352863452104,0.22250067924414765,-0.7156990674162608,0.474217422953339,-0.5954639794555082,0.2769769221864661,insig,-15.924352863452103
tenure_status_constructed_cash,-0.18897236693156763,0.21908495417871726,-0.8625529198934151,0.38843312970653854,-0.618496167958117,0.24055143409498173,insig,-18.897236693156763
tenure_status_constructed_cash_&_loan,-0.24029369111967752,0.22343836768510647,-1.0754361196297557,0.28224199097735,-0.6783525132923127,0.19776513105295773,insig,-24.029369111967753
tenure_status_gift,-0.20797083189605145,0.22256347298602983,-0.9344338004156938,0.35013449571020316,-0.6443143920688196,0.2283727282767167,insig,-20.797083189605146
tenure_status_inherited,-0.25326163871451135,0.22210231385666138,-1.1402926620474532,0.2542301498967334,-0.6887010801043765,0.18217780267535377,insig,-25.326163871451136
tenure_status_other_specify,-0.17476299491935893,0.22489060873687608,-0.7771022360646154,0.4371427153325489,-0.6156689870352758,0.26614299719655793,insig,-17.476299491935894
tenure_status_purchased_cash,-0.05915108528138635,0.22163795354999782,-0.2668815712018513,0.7895735968825537,-0.49368013186704557,0.37537796130427287,insig,-5.915108528138635
tenure_status_purchased_cash_&_loan,-0.21332181860680555,0.22469344054254806,-0.9493905033084881,0.3424772811875474,-0.6538412555045114,0.2271976182909003,insig,-21.332181860680556
tenure_status_purchased_loan,-0.08314774819122203,0.23337791091404356,-0.3562794262129056,0.721649413259501,-0.540693396395179,0.374397900012735,insig,-8.314774819122203
roof_material_concrete,0.09915340838561777,0.06534719446818582,1.5173322924198445,0.12925892184355536,-0.028962077497998964,0.22726889426923452,insig,9.915340838561777
roof_material_corrugated_iron_sheets,0.042403918398237934,0.055730976088453295,0.7608680373897749,0.44677908840647895,-0.0668586312559254,0.15166646805240128,insig,4.240391839823793
roof_material_dung__mud,0.03368807748056181,0.07463842942765431,0.451350299556009,0.651760664819174,-0.11264320314341937,0.180019358104543,insig,3.368807748056181
roof_material_grass__thatch__makuti,0.0238410554350655,0.06075258770881581,0.39242864105368674,0.694761665852718,-0.09526654139973496,0.14294865226986597,insig,2.38410554350655
roof_material_other,0.06201466860220045,0.0761989269546934,0.8138522559388971,0.4157762539261671,-0.08737602261352584,0.21140535981792674,insig,6.201466860220045
roof_material_tiles,0.17228416652044842,0.09422233209627891,1.8284854841461984,0.0675484105716433,-0.012442047907612164,0.357010380948509,insig,17.228416652044842
roof_material_tin_cans,-0.25964237003312324,0.3204506530757642,-0.8102413508632668,0.41784790001378136,-0.8878972087394925,0.3686124686732461,insig,-25.964237003312324
wall_material_bricks,0.010730418994304085,0.02669023775083235,0.40203534694888404,0.6876787018144332,-0.04159673606759964,0.06305757405620781,insig,1.0730418994304085
wall_material_cane_palm_trunks,-0.13155816812665305,0.039463279222862094,-3.333685662149384,0.0008645438678381517,-0.20892732273755604,-0.05418901351575005,***,-13.155816812665305
wall_material_cardboard,0.41644536823821904,0.22137782127950886,1.88115216705661,0.060021121862110886,-0.017573679831070443,0.8504644163075086,insig,41.6445368238219
wall_material_cement,-0.027971964749805192,0.028129655779745917,-0.9943941358125589,0.3200889550399039,-0.0831211497651705,0.027177220265560117,insig,-2.7971964749805194
wall_material_cement_blocks,0.08478547848645601,0.040478061662790034,2.0946032246498634,0.03626672440720544,0.005426807012348947,0.1641441499605631,*,8.4785478486456
wall_material_corrugated_iron_sheets,0.003368891091543062,0.03147675021314242,0.10702791961466392,0.9147719999680948,-0.0583423909369038,0.06508017311998993,insig,0.3368891091543062
wall_material_covered_adobe,-0.015224605698303093,0.043547450243224366,-0.34960957790340247,0.7266494485498016,-0.1006009220391598,0.0701517106425536,insig,-1.5224605698303093
wall_material_grass_reeds,0.02034403398296316,0.03903447005892596,0.5211812521664071,0.6022683016747272,-0.056184425096385375,0.09687249306231169,insig,2.034403398296316
wall_material_mud,-0.00012499901122374913,0.02196004751043049,-0.0056921102362997,0.9954586510406798,-0.04317844881457867,0.042928450792131166,insig,-0.012499901122374913
wall_material_no_walls,-0.18092556418915853,0.11872698592379004,-1.5238790303772496,0.12761507303361644,-0.4136940191000885,0.05184289072177148,insig,-18.092556418915855
wall_material_otherspecify,-0.10367401467173594,0.045746114965915755,-2.2662911320224848,0.023484800229804644,-0.1933608909614197,-0.013987138382052178,*,-10.367401467173593
wall_material_plywood,-0.2817353612917119,0.14046298661160833,-2.005762287190527,0.04494636280868913,-0.5571180142864205,-0.006352708297003351,*,-28.17353612917119
wall_material_reused_wood,0.02551050994710058,0.05169711465983088,0.49346100096612305,0.6217129824350922,-0.07584351171101016,0.12686453160521133,insig,2.551050994710058
wall_material_stone_with_lime_cement,-0.01094512804471796,0.026623057650860406,-0.41111461306414726,0.6810097074125457,-0.06314057414467374,0.04125031805523781,insig,-1.094512804471796
wall_material_stone_with_mud,-0.09004017501287259,0.049684959844662153,-1.8122219539751918,0.07002409561928165,-0.18744929599213467,0.007368945966389498,insig,-9.00401750128726
wall_material_uncovered_adobe,0.03744392984809322,0.04675812226142515,0.8008005462397274,0.4232929317674886,-0.05422702253601373,0.1291148822322002,insig,3.744392984809322
wall_material_wood_planks_shingles,-0.002286906943244322,0.027736160314352908,-0.08245218218113967,0.9342911153930192,-0.05666463018198556,0.05209081629549692,insig,-0.2286906943244322
floor_material_cement,-0.03994414557500154,0.036222763895662584,-1.102735994692679,0.2702057275895715,-0.1109601552798965,0.031071864129893413,insig,-3.994414557500154
floor_material_ceramic_tiles,-0.001770548648615593,0.04768557309379097,-0.03712965020118699,0.9703834154147702,-0.09525980119065143,0.09171870389342025,insig,-0.1770548648615593
floor_material_dung,-0.07395593612085453,0.04229094196218771,-1.748741756260205,0.08040954597467838,-0.15686882353791604,0.008956951296206966,insig,-7.395593612085453
floor_material_earth_sand,-0.05684048893085478,0.03958190485481485,-1.4360220696640007,0.1510713780405844,-0.13444221328862394,0.02076123542691438,insig,-5.684048893085477
floor_material_other,0.03656535190097522,0.12532855898248943,0.2917559429218685,0.7704878047339561,-0.20914572046881486,0.2822764242707653,insig,3.656535190097522
floor_material_parquet_or_polished_wood,-0.1987737368657584,0.16188081748459485,-1.2279017363170557,0.2195534456628024,-0.5161468047695827,0.11859933103806591,insig,-19.87737368657584
floor_material_vinyl_or_asphalt_strips,-0.2688814924872433,0.11531507236684505,-2.331711605156579,0.01976344858575345,-0.49496077020092244,-0.04280221477356416,*,-26.88814924872433
floor_material_wood_planks_shingles,-0.1535833922065924,0.09692480138134961,-1.5845623619317017,0.11314194021234539,-0.34360789324603835,0.036441108832853536,insig,-15.35833922065924
drinking_water_source_dug_well__protected_well,-0.05260151685954981,0.053368358320941334,-0.9856311588829476,0.3243715596463297,-0.1572320708220018,0.05202903710290217,insig,-5.26015168595498
drinking_water_source_dug_well__unprotected_well,-0.11313448880059018,0.05426066535874561,-2.0850184577096313,0.03712855508955333,-0.2195144422688055,-0.006754535332374856,*,-11.313448880059019
drinking_water_source_other_,-0.045574524517144714,0.06514042007173404,-0.6996351031657005,0.4841943991477389,-0.17328462188354504,0.0821355728492556,insig,-4.557452451714472
drinking_water_source_piped_water__piped_into_dwelling,-0.01028356192167075,0.05130993483923282,-0.200420482970633,0.8411615549631426,-0.11087850384814278,0.09031138000480128,insig,-1.028356192167075
drinking_water_source_piped_water__piped_into_plot_yard,-0.02998905282712048,0.05048448729560656,-0.5940251042171184,0.5525276769815197,-0.1289656756507793,0.06898756999653832,insig,-2.9989052827120477
drinking_water_source_piped_water__public_tap_stand_pipe,-0.05989850430295957,0.051629877763730035,-1.1601519681504697,0.24605362783905788,-0.16112070564830294,0.04132369704238379,insig,-5.989850430295958
