Model,Group,Attribute,Ref_Group,TP,FP,TN,FN,N,Group Exclusion Error (FNR),Ref Exclusion Error (FNR),Exclusion Ratio,Exclusion Sig,Group Inclusion Error (FPR),Ref Inclusion Error (FPR),Actual Poverty Share,Predicted Poverty Share,Recall_Group,Recall_Ref,Precision_Group,Precision_Ref
KCHS,Nr Rooms,1,Rest,422,134,648,202,1406,32.37,45.48,0.71,***,17.14,15.6,44.38,39.54,67.63,54.52,75.9,66.44
KCHS,Nr Rooms,2,Rest,266,117,578,200,1161,42.92,37.51,1.14,*,16.83,15.86,40.14,32.99,57.08,62.49,69.45,71.82
KCHS,Nr Rooms,3,Rest,102,64,313,84,563,45.16,38.46,1.17,*,16.98,16.01,33.04,29.48,54.84,61.54,61.45,72.65
KCHS,Nr Rooms,4-5,Rest,24,16,155,37,232,60.66,38.38,1.58,***,9.36,16.81,26.29,17.24,39.34,61.62,60.0,71.43
IBS,Nr Rooms,1,Rest,472,165,797,221,1655,31.89,41.32,0.77,***,17.15,13.45,41.87,38.49,68.11,58.68,74.1,69.92
IBS,Nr Rooms,2,Rest,299,138,597,189,1223,38.73,36.71,1.05,insig,18.78,13.27,39.9,35.73,61.27,63.29,68.42,73.28
IBS,Nr Rooms,3,Rest,167,65,520,134,886,44.52,35.69,1.25,***,11.11,15.76,33.97,26.19,55.48,64.31,71.98,71.75
IBS,Nr Rooms,4-5,Rest,75,28,339,53,495,41.41,36.97,1.12,insig,7.63,15.87,25.86,20.81,58.59,63.03,72.82,71.71
IBS,Nr Rooms,>5,Rest,9,5,61,12,87,57.14,37.06,1.54,*,7.58,14.94,24.14,16.09,42.86,62.94,64.29,71.86
