Model,Group,Attribute,Ref_Group,TP,FP,TN,FN,N,Group Exclusion Error (FNR),Ref Exclusion Error (FNR),Exclusion Ratio,Exclusion Sig,Group Inclusion Error (FPR),Ref Inclusion Error (FPR),Actual Poverty Share,Predicted Poverty Share,Recall_Group,Recall_Ref,Precision_Group,Precision_Ref
KCHS,Num Children,1 to 2 children,Rest,258,93,684,193,1228,42.79,37.0,1.16,**,11.97,19.0,36.73,28.58,57.21,63.0,73.5,69.9
KCHS,Num Children,No children,Rest,210,97,568,163,1038,43.7,37.11,1.18,**,14.59,17.17,35.93,29.58,56.3,62.89,68.4,71.93
KCHS,Num Children,3 to 4 children,Rest,228,94,390,118,830,34.1,40.62,0.84,**,19.42,15.38,41.69,38.8,65.9,59.38,70.81,71.07
KCHS,Num Children,5+,Rest,124,51,74,49,298,28.32,40.51,0.7,***,40.8,14.75,58.05,58.72,71.68,59.49,70.86,71.02
IBS,Num Children,No children,Rest,328,151,1328,302,2109,47.94,30.72,1.56,***,10.21,21.19,29.87,22.71,52.06,69.28,68.48,72.76
IBS,Num Children,1 to 2 children,Rest,541,186,869,269,1865,33.21,41.4,0.8,***,17.63,13.65,43.43,38.98,66.79,58.6,74.42,68.17
IBS,Num Children,3 to 4 children,Rest,150,68,100,40,358,21.05,39.49,0.53,***,40.48,13.53,53.07,60.89,78.95,60.51,68.81,71.78
